retriever,indexing_variant,corpus_version,base_vignette_id,demographic_variant_id,difficulty_tier,gold_checklist_id,primary_distractor_id,selected_checklist_id,rank1_score,rank2_score,rank3_score,retrieval_top3_ids,rank1_minus_rank2_margin,retrieval_correct
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.1,WHI_F,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ANA,0.589428,0.567248,0.532684,GC-ANA | GC-ECZEMA-INFECT | GC-FPIES,0.022181,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.2,ASI_F,standard,GC-ANA,GC-URT-ACUTE,GC-ECZEMA-INFECT,0.581717,0.566353,0.558419,GC-ECZEMA-INFECT | GC-OAS | GC-IGE-FOOD,0.015364,N
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.2,ASI_M,standard,GC-ANA,GC-URT-ACUTE,GC-ECZEMA-INFECT,0.576528,0.572811,0.561039,GC-ECZEMA-INFECT | GC-OAS | GC-IGE-FOOD,0.003716,N
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.3,WHI_F,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ANA,0.651348,0.578712,0.570655,GC-ANA | GC-OAS | GC-ECZEMA-INFECT,0.072636,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.3,WHI_M,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ANA,0.643833,0.588889,0.571595,GC-ANA | GC-OAS | GC-ECZEMA-INFECT,0.054944,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.3,BLA_F,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ANA,0.657668,0.572841,0.566166,GC-ANA | GC-OAS | GC-ECZEMA-INFECT,0.084827,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.3,BLA_M,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ANA,0.648861,0.584474,0.568488,GC-ANA | GC-OAS | GC-ECZEMA-INFECT,0.064388,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.3,HIS_F,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ANA,0.649677,0.579483,0.547089,GC-ANA | GC-OAS | GC-ECZEMA-INFECT,0.070193,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.3,HIS_M,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ANA,0.643582,0.587298,0.547839,GC-ANA | GC-OAS | GC-ECZEMA-INFECT,0.056284,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.3,ASI_F,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ANA,0.64718,0.587593,0.567861,GC-ANA | GC-OAS | GC-ECZEMA-INFECT,0.059587,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.3,ASI_M,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-ANA,0.640948,0.596216,0.56866,GC-ANA | GC-OAS | GC-ECZEMA-INFECT,0.044731,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.E,WHI_F,edge,GC-ANA,GC-ASTHMA-ACUTE,GC-ANA,0.521304,0.517175,0.474186,GC-ANA | GC-ASTHMA-LIFE | GC-IGE-FOOD,0.004129,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.E,WHI_M,edge,GC-ANA,GC-ASTHMA-ACUTE,GC-ASTHMA-LIFE,0.512956,0.510128,0.473093,GC-ASTHMA-LIFE | GC-ANA | GC-IGE-FOOD,0.002828,PARTIAL
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.E,BLA_F,edge,GC-ANA,GC-ASTHMA-ACUTE,GC-ANA,0.528085,0.522438,0.46937,GC-ANA | GC-ASTHMA-LIFE | GC-IGE-FOOD,0.005647,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.E,BLA_M,edge,GC-ANA,GC-ASTHMA-ACUTE,GC-ASTHMA-LIFE,0.518468,0.516076,0.469952,GC-ASTHMA-LIFE | GC-ANA | GC-OAS,0.002392,PARTIAL
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.E,HIS_F,edge,GC-ANA,GC-ASTHMA-ACUTE,GC-ANA,0.517171,0.49964,0.477942,GC-ANA | GC-ASTHMA-LIFE | GC-OAS,0.017532,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.E,HIS_M,edge,GC-ANA,GC-ASTHMA-ACUTE,GC-ANA,0.506257,0.496887,0.483817,GC-ANA | GC-ASTHMA-LIFE | GC-OAS,0.00937,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.E,ASI_F,edge,GC-ANA,GC-ASTHMA-ACUTE,GC-ANA,0.525736,0.513021,0.480198,GC-ANA | GC-ASTHMA-LIFE | GC-OAS,0.012715,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A1.E,ASI_M,edge,GC-ANA,GC-ASTHMA-ACUTE,GC-ANA,0.515503,0.509488,0.485171,GC-ANA | GC-ASTHMA-LIFE | GC-OAS,0.006016,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.1,WHI_F,standard,GC-IGE-FOOD,GC-INTOL,GC-IGE-FOOD,0.705769,0.697216,0.612304,GC-IGE-FOOD | GC-INTOL | GC-AD-FOODAVOID,0.008554,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.1,WHI_M,standard,GC-IGE-FOOD,GC-INTOL,GC-IGE-FOOD,0.706761,0.70043,0.614434,GC-IGE-FOOD | GC-INTOL | GC-AD-FOODAVOID,0.006331,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.1,BLA_F,standard,GC-IGE-FOOD,GC-INTOL,GC-IGE-FOOD,0.690308,0.681659,0.602762,GC-IGE-FOOD | GC-INTOL | GC-AD-FOODAVOID,0.00865,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.1,BLA_M,standard,GC-IGE-FOOD,GC-INTOL,GC-IGE-FOOD,0.693006,0.686835,0.607077,GC-IGE-FOOD | GC-INTOL | GC-AD-FOODAVOID,0.006171,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.1,HIS_F,standard,GC-IGE-FOOD,GC-INTOL,GC-IGE-FOOD,0.68034,0.677962,0.595784,GC-IGE-FOOD | GC-INTOL | GC-AD-FOODAVOID,0.002378,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.1,HIS_M,standard,GC-IGE-FOOD,GC-INTOL,GC-IGE-FOOD,0.684933,0.683833,0.601079,GC-IGE-FOOD | GC-INTOL | GC-AD-FOODAVOID,0.0011,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.1,ASI_F,standard,GC-IGE-FOOD,GC-INTOL,GC-INTOL,0.700138,0.698512,0.610293,GC-INTOL | GC-IGE-FOOD | GC-AD-FOODAVOID,0.001626,PARTIAL
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.1,ASI_M,standard,GC-IGE-FOOD,GC-INTOL,GC-INTOL,0.70353,0.700463,0.612654,GC-INTOL | GC-IGE-FOOD | GC-AD-FOODAVOID,0.003067,PARTIAL
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.2,WHI_F,standard,GC-INTOL,GC-IGE-FOOD,GC-IGE-FOOD,0.505283,0.503369,0.479803,GC-IGE-FOOD | GC-FPIES | GC-INTOL,0.001914,PARTIAL
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.2,WHI_M,standard,GC-INTOL,GC-IGE-FOOD,GC-FPIES,0.507707,0.504169,0.478407,GC-FPIES | GC-IGE-FOOD | GC-INTOL,0.003538,PARTIAL
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.2,BLA_F,standard,GC-INTOL,GC-IGE-FOOD,GC-FPIES,0.506523,0.50076,0.474489,GC-FPIES | GC-IGE-FOOD | GC-INTOL,0.005763,PARTIAL
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.2,BLA_M,standard,GC-INTOL,GC-IGE-FOOD,GC-FPIES,0.510558,0.498834,0.472128,GC-FPIES | GC-IGE-FOOD | GC-INTOL,0.011724,PARTIAL
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.2,HIS_F,standard,GC-INTOL,GC-IGE-FOOD,GC-IGE-FOOD,0.500062,0.492892,0.475837,GC-IGE-FOOD | GC-FPIES | GC-INTOL,0.00717,PARTIAL
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.2,HIS_M,standard,GC-INTOL,GC-IGE-FOOD,GC-IGE-FOOD,0.501685,0.498237,0.476722,GC-IGE-FOOD | GC-FPIES | GC-INTOL,0.003448,PARTIAL
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.2,ASI_F,standard,GC-INTOL,GC-IGE-FOOD,GC-FPIES,0.510563,0.503805,0.482799,GC-FPIES | GC-IGE-FOOD | GC-INTOL,0.006758,PARTIAL
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.2,ASI_M,standard,GC-INTOL,GC-IGE-FOOD,GC-FPIES,0.514927,0.504125,0.482353,GC-FPIES | GC-IGE-FOOD | GC-INTOL,0.010802,PARTIAL
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.3,WHI_F,standard,GC-OAS,GC-IGE-FOOD,GC-OAS,0.675227,0.543515,0.494593,GC-OAS | GC-IGE-FOOD | GC-ECZEMA-INFECT,0.131712,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.3,WHI_M,standard,GC-OAS,GC-IGE-FOOD,GC-OAS,0.676852,0.540077,0.491206,GC-OAS | GC-IGE-FOOD | GC-ECZEMA-INFECT,0.136775,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.3,BLA_F,standard,GC-OAS,GC-IGE-FOOD,GC-OAS,0.67628,0.539729,0.496098,GC-OAS | GC-IGE-FOOD | GC-ECZEMA-INFECT,0.136552,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.3,BLA_M,standard,GC-OAS,GC-IGE-FOOD,GC-OAS,0.678228,0.53647,0.491984,GC-OAS | GC-IGE-FOOD | GC-ECZEMA-INFECT,0.141758,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.3,HIS_F,standard,GC-OAS,GC-IGE-FOOD,GC-OAS,0.683893,0.546843,0.487927,GC-OAS | GC-IGE-FOOD | GC-INTOL,0.137051,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.3,HIS_M,standard,GC-OAS,GC-IGE-FOOD,GC-OAS,0.685662,0.54479,0.488076,GC-OAS | GC-IGE-FOOD | GC-INTOL,0.140872,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.3,ASI_F,standard,GC-OAS,GC-IGE-FOOD,GC-OAS,0.684592,0.54058,0.496214,GC-OAS | GC-IGE-FOOD | GC-ECZEMA-INFECT,0.144012,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.3,ASI_M,standard,GC-OAS,GC-IGE-FOOD,GC-OAS,0.685379,0.536775,0.491915,GC-OAS | GC-IGE-FOOD | GC-ECZEMA-INFECT,0.148604,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.E,WHI_F,edge,GC-FPIES,GC-ANA,GC-FPIES,0.562934,0.44757,0.435665,GC-FPIES | GC-INTOL | GC-ECZEMA-INFECT,0.115364,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.E,WHI_M,edge,GC-FPIES,GC-ANA,GC-FPIES,0.562557,0.44649,0.428955,GC-FPIES | GC-INTOL | GC-ECZEMA-INFECT,0.116067,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.E,BLA_F,edge,GC-FPIES,GC-ANA,GC-FPIES,0.56175,0.444849,0.428592,GC-FPIES | GC-INTOL | GC-ECZEMA-INFECT,0.1169,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.E,BLA_M,edge,GC-FPIES,GC-ANA,GC-FPIES,0.562251,0.443848,0.422519,GC-FPIES | GC-INTOL | GC-ECZEMA-INFECT,0.118403,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.E,HIS_F,edge,GC-FPIES,GC-ANA,GC-FPIES,0.562766,0.457988,0.425766,GC-FPIES | GC-INTOL | GC-OAS,0.104779,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.E,HIS_M,edge,GC-FPIES,GC-ANA,GC-FPIES,0.561297,0.456261,0.42979,GC-FPIES | GC-INTOL | GC-OAS,0.105036,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.E,ASI_F,edge,GC-FPIES,GC-ANA,GC-FPIES,0.567809,0.454645,0.43157,GC-FPIES | GC-INTOL | GC-ECZEMA-INFECT,0.113165,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A2.E,ASI_M,edge,GC-FPIES,GC-ANA,GC-FPIES,0.565916,0.45282,0.429319,GC-FPIES | GC-INTOL | GC-OAS,0.113096,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.1,WHI_F,standard,GC-PCN-DELABEL,GC-DRUG-IMMEDIATE,GC-PCN-DELABEL,0.630752,0.521816,0.474432,GC-PCN-DELABEL | GC-AB-DEF | GC-DRUG-IMMEDIATE,0.108935,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.1,WHI_M,standard,GC-PCN-DELABEL,GC-DRUG-IMMEDIATE,GC-PCN-DELABEL,0.632044,0.519754,0.482343,GC-PCN-DELABEL | GC-AB-DEF | GC-DRUG-IMMEDIATE,0.11229,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.1,BLA_F,standard,GC-PCN-DELABEL,GC-DRUG-IMMEDIATE,GC-PCN-DELABEL,0.632279,0.511685,0.491997,GC-PCN-DELABEL | GC-AB-DEF | GC-SCAR,0.120594,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.1,BLA_M,standard,GC-PCN-DELABEL,GC-DRUG-IMMEDIATE,GC-PCN-DELABEL,0.633573,0.511601,0.492368,GC-PCN-DELABEL | GC-AB-DEF | GC-SCAR,0.121972,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.1,HIS_F,standard,GC-PCN-DELABEL,GC-DRUG-IMMEDIATE,GC-PCN-DELABEL,0.621225,0.510309,0.475567,GC-PCN-DELABEL | GC-AB-DEF | GC-DRUG-IMMEDIATE,0.110916,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.1,HIS_M,standard,GC-PCN-DELABEL,GC-DRUG-IMMEDIATE,GC-PCN-DELABEL,0.622902,0.508302,0.482321,GC-PCN-DELABEL | GC-AB-DEF | GC-DRUG-IMMEDIATE,0.114601,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.1,ASI_F,standard,GC-PCN-DELABEL,GC-DRUG-IMMEDIATE,GC-PCN-DELABEL,0.627372,0.517976,0.491127,GC-PCN-DELABEL | GC-AB-DEF | GC-DRUG-IMMEDIATE,0.109396,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.1,ASI_M,standard,GC-PCN-DELABEL,GC-DRUG-IMMEDIATE,GC-PCN-DELABEL,0.629309,0.51525,0.49846,GC-PCN-DELABEL | GC-AB-DEF | GC-DRUG-IMMEDIATE,0.114059,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.2,WHI_F,standard,GC-DRUG-IMMEDIATE,GC-PCN-DELABEL,GC-DRUG-IMMEDIATE,0.625646,0.547227,0.520909,GC-DRUG-IMMEDIATE | GC-PCN-DELABEL | GC-ANGIO-HISTAMINE,0.07842,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.2,WHI_M,standard,GC-DRUG-IMMEDIATE,GC-PCN-DELABEL,GC-DRUG-IMMEDIATE,0.629907,0.547577,0.530573,GC-DRUG-IMMEDIATE | GC-PCN-DELABEL | GC-ANGIO-HISTAMINE,0.08233,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.2,BLA_F,standard,GC-DRUG-IMMEDIATE,GC-PCN-DELABEL,GC-DRUG-IMMEDIATE,0.625403,0.547809,0.537565,GC-DRUG-IMMEDIATE | GC-PCN-DELABEL | GC-SCAR,0.077594,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.2,BLA_M,standard,GC-DRUG-IMMEDIATE,GC-PCN-DELABEL,GC-DRUG-IMMEDIATE,0.629453,0.549848,0.533641,GC-DRUG-IMMEDIATE | GC-PCN-DELABEL | GC-SCAR,0.079605,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.2,HIS_F,standard,GC-DRUG-IMMEDIATE,GC-PCN-DELABEL,GC-DRUG-IMMEDIATE,0.618552,0.534901,0.516826,GC-DRUG-IMMEDIATE | GC-PCN-DELABEL | GC-ANGIO-HISTAMINE,0.083651,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.2,HIS_M,standard,GC-DRUG-IMMEDIATE,GC-PCN-DELABEL,GC-DRUG-IMMEDIATE,0.623354,0.536087,0.527302,GC-DRUG-IMMEDIATE | GC-PCN-DELABEL | GC-ANGIO-HISTAMINE,0.087267,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.2,ASI_F,standard,GC-DRUG-IMMEDIATE,GC-PCN-DELABEL,GC-DRUG-IMMEDIATE,0.634832,0.538253,0.528333,GC-DRUG-IMMEDIATE | GC-PCN-DELABEL | GC-ANGIO-HISTAMINE,0.096579,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.2,ASI_M,standard,GC-DRUG-IMMEDIATE,GC-PCN-DELABEL,GC-DRUG-IMMEDIATE,0.63835,0.539036,0.537552,GC-DRUG-IMMEDIATE | GC-PCN-DELABEL | GC-ANGIO-HISTAMINE,0.099314,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.3,WHI_F,standard,GC-SCAR,GC-PCN-DELABEL,GC-SCAR,0.579353,0.573358,0.496502,GC-SCAR | GC-PCN-DELABEL | GC-DRUG-IMMEDIATE,0.005995,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.3,WHI_M,standard,GC-SCAR,GC-PCN-DELABEL,GC-SCAR,0.579711,0.578103,0.503374,GC-SCAR | GC-PCN-DELABEL | GC-DRUG-IMMEDIATE,0.001608,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.3,BLA_F,standard,GC-SCAR,GC-PCN-DELABEL,GC-SCAR,0.577963,0.558646,0.488086,GC-SCAR | GC-PCN-DELABEL | GC-DRUG-IMMEDIATE,0.019317,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.3,BLA_M,standard,GC-SCAR,GC-PCN-DELABEL,GC-SCAR,0.577332,0.563629,0.494087,GC-SCAR | GC-PCN-DELABEL | GC-DRUG-IMMEDIATE,0.013702,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.3,HIS_F,standard,GC-SCAR,GC-PCN-DELABEL,GC-SCAR,0.571914,0.55678,0.490508,GC-SCAR | GC-PCN-DELABEL | GC-DRUG-IMMEDIATE,0.015134,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.3,HIS_M,standard,GC-SCAR,GC-PCN-DELABEL,GC-SCAR,0.572796,0.561997,0.497203,GC-SCAR | GC-PCN-DELABEL | GC-DRUG-IMMEDIATE,0.010799,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.3,ASI_F,standard,GC-SCAR,GC-PCN-DELABEL,GC-SCAR,0.580353,0.561132,0.505351,GC-SCAR | GC-PCN-DELABEL | GC-DRUG-IMMEDIATE,0.01922,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.3,ASI_M,standard,GC-SCAR,GC-PCN-DELABEL,GC-SCAR,0.58062,0.566384,0.510718,GC-SCAR | GC-PCN-DELABEL | GC-DRUG-IMMEDIATE,0.014236,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.E,WHI_F,edge,GC-SCAR,GC-PCN-DELABEL,GC-SCAR,0.59181,0.551878,0.549738,GC-SCAR | GC-ECZEMA-HERPETICUM | GC-AUTOINFLAM,0.039932,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.E,WHI_M,edge,GC-SCAR,GC-PCN-DELABEL,GC-SCAR,0.58923,0.546345,0.54049,GC-SCAR | GC-AUTOINFLAM | GC-DRUG-IMMEDIATE,0.042885,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.E,BLA_F,edge,GC-SCAR,GC-PCN-DELABEL,GC-SCAR,0.599384,0.548273,0.540475,GC-SCAR | GC-ECZEMA-HERPETICUM | GC-AUTOINFLAM,0.05111,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.E,BLA_M,edge,GC-SCAR,GC-PCN-DELABEL,GC-SCAR,0.596419,0.542085,0.537166,GC-SCAR | GC-DRUG-IMMEDIATE | GC-AUTOINFLAM,0.054334,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.E,HIS_F,edge,GC-SCAR,GC-PCN-DELABEL,GC-SCAR,0.581727,0.543588,0.538779,GC-SCAR | GC-ECZEMA-HERPETICUM | GC-AUTOINFLAM,0.038139,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.E,HIS_M,edge,GC-SCAR,GC-PCN-DELABEL,GC-SCAR,0.579446,0.537329,0.534344,GC-SCAR | GC-DRUG-IMMEDIATE | GC-AUTOINFLAM,0.042116,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.E,ASI_F,edge,GC-SCAR,GC-PCN-DELABEL,GC-SCAR,0.600193,0.557963,0.552445,GC-SCAR | GC-AUTOINFLAM | GC-ECZEMA-HERPETICUM,0.042229,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A3.E,ASI_M,edge,GC-SCAR,GC-PCN-DELABEL,GC-SCAR,0.597828,0.554043,0.551472,GC-SCAR | GC-AUTOINFLAM | GC-DRUG-IMMEDIATE,0.043786,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A4.1,WHI_F,standard,GC-AD-FOODAVOID,GC-IGE-FOOD,GC-AD-FOODAVOID,0.76371,0.73363,0.626296,GC-AD-FOODAVOID | GC-IGE-FOOD | GC-INTOL,0.030081,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A4.1,WHI_M,standard,GC-AD-FOODAVOID,GC-IGE-FOOD,GC-AD-FOODAVOID,0.765896,0.737456,0.631276,GC-AD-FOODAVOID | GC-IGE-FOOD | GC-INTOL,0.02844,Y
all-mpnet-base-v2,primary_frozen,guardrail_corpus_v4_32items,A4.1,BLA_F,standard,GC-AD-FOODAVOID,GC-IGE-FOOD,GC-AD-FOODAVOID,0.763726,0.732823,0.624892,GC-AD-FOODAVOID | GC-IGE-FOOD | GC-INTOL,0.030903,Y
