retriever,corpus_version,base_vignette_id,demographic_variant_id,difficulty_tier,gold_checklist_id,primary_distractor_id,selected_checklist_id,rank1_score,rank2_score,rank3_score,top3_ids,rank1_minus_rank2_margin,retrieval_correct
all-mpnet-base-v2,v4,B4.2,BLA_M,standard,GC-COMP-CLASSICAL,GC-COMP-TERMINAL,GC-COMP-CLASSICAL,0.728222,0.574737,0.543221,GC-COMP-CLASSICAL|GC-CGD|GC-COMP-TERMINAL,0.153486,Y
all-mpnet-base-v2,v4,B4.E,WHI_M,edge,GC-COMP-TERMINAL,GC-COMP-CLASSICAL,GC-COMP-TERMINAL,0.580348,0.450334,0.450173,GC-COMP-TERMINAL|GC-CGD|GC-AB-DEF,0.130014,Y
all-mpnet-base-v2,v4,B4.E,BLA_M,edge,GC-COMP-TERMINAL,GC-COMP-CLASSICAL,GC-COMP-TERMINAL,0.579231,0.446562,0.433888,GC-COMP-TERMINAL|GC-CGD|GC-AB-DEF,0.132668,Y
all-MiniLM-L6-v2,v3,A1.1,WHI_M,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-OAS,0.478109,0.431341,0.431243,GC-OAS|GC-URT-ACUTE|GC-URT-CHRONIC,0.046768,N
all-MiniLM-L6-v2,v3,A1.1,BLA_M,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-OAS,0.459866,0.438315,0.421214,GC-OAS|GC-URT-CHRONIC|GC-URT-ACUTE,0.021551,N
all-MiniLM-L6-v2,v3,A3.3,WHI_M,standard,GC-SCAR,GC-PCN-DELABEL,GC-PCN-DELABEL,0.545548,0.452437,0.43811,GC-PCN-DELABEL|GC-ECZEMA-HERPETICUM|GC-AB-DEF,0.093111,N
all-MiniLM-L6-v2,v3,A3.3,BLA_M,standard,GC-SCAR,GC-PCN-DELABEL,GC-PCN-DELABEL,0.535845,0.433204,0.431631,GC-PCN-DELABEL|GC-ECZEMA-HERPETICUM|GC-AB-DEF,0.102641,N
all-MiniLM-L6-v2,v3,A6.E,WHI_M,edge,GC-HAE,GC-ANGIO-HISTAMINE,GC-OAS,0.482231,0.467943,0.459011,GC-OAS|GC-URT-CHRONIC|GC-AUTOINFLAM,0.014288,N
all-MiniLM-L6-v2,v3,A6.E,BLA_M,edge,GC-HAE,GC-ANGIO-HISTAMINE,GC-URT-CHRONIC,0.46834,0.467517,0.445118,GC-URT-CHRONIC|GC-OAS|GC-AUTOINFLAM,0.000823,N
all-MiniLM-L6-v2,v3,B2.3,WHI_M,standard,GC-SCID,GC-IMMUNIZE-ROUTINE,GC-AB-DEF,0.393864,0.355679,0.333992,GC-AB-DEF|GC-SCID|GC-IMMUNIZE-ROUTINE,0.038186,PARTIAL
all-MiniLM-L6-v2,v3,B2.3,BLA_M,standard,GC-SCID,GC-IMMUNIZE-ROUTINE,GC-AB-DEF,0.376897,0.327694,0.325268,GC-AB-DEF|GC-SCID|GC-IMMUNIZE-ROUTINE,0.049203,PARTIAL
all-MiniLM-L6-v2,v3,B4.2,WHI_M,standard,GC-COMP-CLASSICAL,GC-COMP-TERMINAL,GC-COMP-CLASSICAL,0.679195,0.620387,0.526156,GC-COMP-CLASSICAL|GC-COMP-TERMINAL|GC-AB-DEF,0.058808,Y
all-MiniLM-L6-v2,v3,B4.2,BLA_M,standard,GC-COMP-CLASSICAL,GC-COMP-TERMINAL,GC-COMP-CLASSICAL,0.684597,0.62796,0.522248,GC-COMP-CLASSICAL|GC-COMP-TERMINAL|GC-AB-DEF,0.056637,Y
all-MiniLM-L6-v2,v3,B4.E,WHI_M,edge,GC-COMP-TERMINAL,GC-COMP-CLASSICAL,GC-COMP-TERMINAL,0.564004,0.455395,0.380883,GC-COMP-TERMINAL|GC-AB-DEF|GC-AUTOINFLAM,0.108609,Y
all-MiniLM-L6-v2,v3,B4.E,BLA_M,edge,GC-COMP-TERMINAL,GC-COMP-CLASSICAL,GC-COMP-TERMINAL,0.566882,0.446527,0.368011,GC-COMP-TERMINAL|GC-AB-DEF|GC-AUTOINFLAM,0.120356,Y
all-MiniLM-L6-v2,v4,A1.1,WHI_M,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-OAS,0.478109,0.431341,0.431243,GC-OAS|GC-URT-ACUTE|GC-URT-CHRONIC,0.046768,N
all-MiniLM-L6-v2,v4,A1.1,BLA_M,standard,GC-ANA,GC-ANGIO-HISTAMINE,GC-OAS,0.459866,0.438315,0.429646,GC-OAS|GC-URT-CHRONIC|GC-ANA,0.021551,PARTIAL
all-MiniLM-L6-v2,v4,A3.3,WHI_M,standard,GC-SCAR,GC-PCN-DELABEL,GC-PCN-DELABEL,0.545548,0.452437,0.43811,GC-PCN-DELABEL|GC-ECZEMA-HERPETICUM|GC-AB-DEF,0.093111,N
all-MiniLM-L6-v2,v4,A3.3,BLA_M,standard,GC-SCAR,GC-PCN-DELABEL,GC-PCN-DELABEL,0.535845,0.433204,0.431631,GC-PCN-DELABEL|GC-ECZEMA-HERPETICUM|GC-AB-DEF,0.102641,N
all-MiniLM-L6-v2,v4,A6.E,WHI_M,edge,GC-HAE,GC-ANGIO-HISTAMINE,GC-HAE,0.540043,0.482607,0.482231,GC-HAE|GC-ANA|GC-OAS,0.057436,Y
all-MiniLM-L6-v2,v4,A6.E,BLA_M,edge,GC-HAE,GC-ANGIO-HISTAMINE,GC-HAE,0.531437,0.489344,0.46834,GC-HAE|GC-ANA|GC-URT-CHRONIC,0.042094,Y
all-MiniLM-L6-v2,v4,B2.3,WHI_M,standard,GC-SCID,GC-IMMUNIZE-ROUTINE,GC-AB-DEF,0.393864,0.355679,0.333992,GC-AB-DEF|GC-SCID|GC-IMMUNIZE-ROUTINE,0.038186,PARTIAL
all-MiniLM-L6-v2,v4,B2.3,BLA_M,standard,GC-SCID,GC-IMMUNIZE-ROUTINE,GC-AB-DEF,0.376897,0.327694,0.325268,GC-AB-DEF|GC-SCID|GC-IMMUNIZE-ROUTINE,0.049203,PARTIAL
all-MiniLM-L6-v2,v4,B4.2,WHI_M,standard,GC-COMP-CLASSICAL,GC-COMP-TERMINAL,GC-COMP-CLASSICAL,0.679195,0.620387,0.526156,GC-COMP-CLASSICAL|GC-COMP-TERMINAL|GC-AB-DEF,0.058808,Y
all-MiniLM-L6-v2,v4,B4.2,BLA_M,standard,GC-COMP-CLASSICAL,GC-COMP-TERMINAL,GC-COMP-CLASSICAL,0.684597,0.62796,0.522248,GC-COMP-CLASSICAL|GC-COMP-TERMINAL|GC-AB-DEF,0.056637,Y
all-MiniLM-L6-v2,v4,B4.E,WHI_M,edge,GC-COMP-TERMINAL,GC-COMP-CLASSICAL,GC-COMP-TERMINAL,0.564004,0.455395,0.380883,GC-COMP-TERMINAL|GC-AB-DEF|GC-AUTOINFLAM,0.108609,Y
all-MiniLM-L6-v2,v4,B4.E,BLA_M,edge,GC-COMP-TERMINAL,GC-COMP-CLASSICAL,GC-COMP-TERMINAL,0.566882,0.446527,0.368011,GC-COMP-TERMINAL|GC-AB-DEF|GC-AUTOINFLAM,0.120356,Y
